Bern_flow,Bern_temperature,BER_ff,BER_qnh,BER_rh,BER_rr,BER_ss,BER_td,BER_tt,brienz_flow,brienz_temperature,interlaken_flow,interlaken_temperature,thun_flow,thun_temperature,hagneck_flow,hagneck_temperature,biel_flow,biel_temperature,THU_ff,THU_qnh,THU_rh,THU_rr,THU_ss,THU_td,THU_tt,INT_ff,INT_qnh,INT_rh,INT_rr,INT_ss,INT_td,INT_tt,BRZ_ff,BRZ_qnh,BRZ_rr,BAN_ff_tow,BAN_rh_tow,BAN_ss,BAN_td_tow,BAN_tt_tow,MSK_ff_tow,MSK_rh_tow,MSK_ss,MSK_td_tow,MSK_tt_tow
67,9.42,1.1,1010.4,99,0,0,2.2,2.4,40,5.1,39,9.29,61,10.23,75,10.54,138,9.94,2.2,1010.2,99,0,0,2.9,3,5,1009.9,93,0,0,5,6.1,1.4,1009.8,0,11.2,91.3,0,3,4.3,0.4,95.8,0,4,4.6
67,9.41,0.7,1010.4,98,0,0,2.6,2.8,42,5.02,39,9.29,61,10.23,75,10.54,138,9.94,2.9,1010.1,99,0,0,3.1,3.2,4.7,1009.8,93,0,0,5,6,0.4,1009.8,0,11.5,88,0,2.8,4.6,0.7,95.8,2,3.9,4.5
67,9.42,1.1,1010.3,98,0,3,2.7,2.9,42,4.96,39,9.29,61,10.23,74,10.53,138,9.94,1.4,1010.1,99,0,0,3.4,3.6,5,1009.8,94,0,0,5,5.9,1.1,1009.7,0,9,87.5,3,2.8,4.7,4,95.7,1,4.1,4.7
67,9.42,0.4,1010.2,96,0,10,3.6,4.2,43,4.96,39,9.3,61,10.23,75,10.55,138,9.95,2.5,1010.2,98,0,0,3.8,4.1,1.8,1009.7,94,0,0,5.1,6,3.6,1009.8,0,6.8,82,10,2.5,5.3,4.7,95.6,0,4.3,4.9
67,9.43,1.4,1010.1,96,0,10,3.9,4.4,43,4.95,39,9.3,61,10.23,75,10.56,138,9.95,2.2,1010.1,97,0,0,3.9,4.3,2.5,1009.6,95,0,0,5.3,6,2.9,1009.8,0,5,83.7,10,2.2,4.7,4.3,95.3,0,4.3,5
67,9.44,2.5,1010.1,96,0,7,3.8,4.4,43,4.89,39,9.3,61,10.24,75,10.51,137,9.95,2.5,1009.9,97,0,0,4.1,4.5,1.4,1009.8,94,0,0,5.3,6.3,1.4,1009.7,0,3.2,85.3,10,2.3,4.6,5.4,95,0,4.3,5
67,9.45,3.6,1010.2,95,0,0,3.6,4.4,43,4.9,39,9.31,61,10.24,76,10.57,138,9.96,2.9,1010.1,97,0,0,4.4,4.8,0.7,1009.8,93,0,0,5.5,6.5,1.4,1009.8,0,6.1,81.7,3,2,4.9,3.2,94.7,0,4.2,5
67,9.47,1.4,1010.3,94,0,3,4.1,4.9,43,4.85,39,9.3,61,10.24,75,10.56,137,9.96,1.1,1010.1,97,0,0,4.4,4.9,1.1,1009.8,93,0,0,5.5,6.6,5,1009.8,0,7.2,82,8,2.1,4.9,0.4,94.4,2,4.4,5.2
67,9.48,1.1,1010.3,94,0,10,4.4,5.3,43,4.8,39,9.31,61,10.24,74,10.57,137,9.96,1.1,1010.2,96,0,0,4.4,5,2.5,1009.8,91,0,0,5.8,7.1,5,1009.9,0,2.9,80.7,10,2.2,5.2,0.4,93.9,5,4.5,5.4
67,9.51,2.5,1010.3,94,0,10,4.8,5.7,42,4.8,39,9.32,61,10.24,75,10.58,137,9.97,2.2,1010.3,95,0,0,4.5,5.2,2.2,1009.8,89,0,0,5.7,7.3,3.2,1009.9,0,2.2,79,10,2.2,5.5,0.7,93.3,8,4.6,5.6
67,9.53,2.2,1010.3,90,0,10,4.6,6.1,40,4.81,39,9.31,61,10.25,74,10.58,138,9.98,0.7,1010.3,95,0,0,4.6,5.4,4,1009.9,89,0,0,5.7,7.3,1.8,1009.9,0,2.9,86.2,10,3.1,5.2,0,92.7,2,4.8,5.9
67,9.55,2.9,1010.4,90,0,10,5,6.6,40,4.8,39,9.31,61,10.25,74,10.56,138,9.98,0.4,1010.3,94,0,0,4.8,5.6,3.2,1009.8,91,0,0,5.7,7.1,0,1009.8,0,3.2,83.6,10,2.6,5.1,0.7,91.7,0,4.7,5.9
67,9.57,3.2,1010.3,89,0,10,5.1,6.8,39,4.87,39,9.32,61,10.26,75,10.62,138,9.99,1.1,1010.2,94,0,10,4.9,5.9,2.9,1009.8,92,0,1,5.8,7.1,0,1009.8,0,3.2,83.3,10,2.4,5,0,90.9,0,4.6,6
67,9.59,2.9,1010.3,88,0,10,5.2,7,38,4.89,39,9.31,61,10.26,74,10.61,138,10,1.8,1010.3,92,0,7,5.1,6.3,1.8,1009.8,91,0,5,5.8,7.2,0,1009.6,0,4,88.1,10,3.3,5.1,0.4,90.2,5,4.5,6
67,9.61,3.6,1010.2,87,0,10,5.2,7.2,36,4.89,39,9.32,61,10.27,74,10.6,138,10,1.8,1010.1,90,0,10,5,6.5,1.1,1009.7,90,0,7,6,7.5,0,1009.6,0,3.6,92.3,10,3.6,4.7,0.7,89.4,2,4.6,6.2
67,9.64,3.6,1010.2,86,0,10,5.3,7.6,34,4.98,39,9.35,61,10.28,74,10.63,138,10,1.1,1010.1,90,0,10,5.6,7.1,2.9,1009.6,88,0,10,5.8,7.6,0,1009.5,0,2.9,94.3,10,3.7,4.5,1.1,88.8,0,4.4,6.1
67,9.66,2.5,1010.2,85,0,10,5.6,8,34,5.02,39,9.35,61,10.29,74,10.6,138,10,1.4,1009.9,89,0,10,5.5,7.2,2.2,1009.5,88,0,10,6.1,8,0,1009.4,0,1.4,96.2,4,4,4.6,3.6,89.2,3,4.5,6.1
67,9.7,4.3,1010.1,84,0,10,5.5,8.1,34,5.02,39,9.36,61,10.3,74,10.57,138,10.01,0.7,1009.8,88,0,10,5.6,7.5,4,1009.5,87,0,10,6.2,8.3,1.1,1009.3,0,1.4,97.8,2,4,4.3,3.2,89.4,9,4.8,6.4
67,9.73,3.6,1010.1,81,0,10,5.1,8.1,34,5.07,40,9.38,61,10.3,74,10.64,138,10.02,1.8,1009.8,85,0,10,5.5,7.9,6.8,1009.4,86,0,10,6,8.2,2.5,1009.4,0,4,98.3,0,4,4.2,2.2,88.3,7,5.1,6.9
67,9.76,4.3,1010,81,0,10,5.5,8.6,35,5.03,40,9.39,61,10.31,75,10.66,137,10.03,2.9,1009.7,84,0,10,5.4,8,6.1,1009.4,85,0,10,5.9,8.2,0,1009.4,0,3.6,90.4,5,3.6,5,4,86.4,9,5,7.1
67,9.78,3.2,1009.9,81,0,10,5.5,8.6,35,5.03,40,9.41,61,10.32,74,10.65,137,10.03,2.5,1009.7,82,0,10,5.5,8.3,5,1009.3,83,0,10,5.7,8.5,0,1009.3,0,3.6,95.3,9,3.8,4.5,7.2,86,10,4.5,6.7
67,9.82,3.2,1009.9,78,0,10,5.2,8.8,36,5.04,40,9.43,61,10.33,74,10.71,137,10.04,2.5,1009.6,81,0,10,5.6,8.6,4.7,1009.3,83,0,10,5.8,8.6,2.5,1009.2,0,2.9,91.6,8,3.5,4.7,7.6,87.5,6,4.4,6.3
67,9.85,3.6,1010,79,0,9,5.8,9.2,37,5.05,39,9.43,61,10.34,75,10.69,137,10.05,2.5,1009.7,80,0,10,5.7,8.9,2.9,1009.4,82,0,10,5.9,8.8,1.8,1009.2,0,3.2,94.4,10,4,4.8,6.5,88.9,6,4.4,6.1
67,9.88,4.3,1010,78,0,9,5.5,9.2,39,5,40,9.44,61,10.35,74,10.72,137,10.06,3.6,1009.7,78,0,10,5.6,9.2,1.4,1009.3,81,0,10,6.1,9.2,0,1009.2,0,2.5,96.3,10,4.2,4.7,6.8,90.1,5,4.6,6.1
67,9.91,2.5,1010,77,0,9,5.1,9,41,5,40,9.45,61,10.37,74,10.76,137,10.07,1.1,1009.8,78,0,10,5.7,9.4,5.4,1009.3,79,0,10,5.8,9.3,0,1009.2,0,2.2,97.3,3,4.1,4.5,5,90.9,2,4.7,6.1
67,9.93,3.6,1010,78,0,7,6.2,9.8,41,4.97,40,9.45,61,10.38,76,10.77,137,10.08,2.2,1009.7,78,0,10,5.9,9.5,9,1009.4,78,0,10,5.5,9.1,1.8,1009.2,0,2.5,94.5,0,4,4.8,4.3,91.5,4,4.8,6.1
